date,region,country,city,department,product,customer_segment,campaign,channel,revenue,profit,cost,quantity,customers,satisfaction_score,conversion_rate,ad_spend,loan_balance,deposit_balance,latitude,longitude
2025-01-11,North,USA,Minneapolis,Finance,Professional,Mid-Market,Upsell,Direct,2493.27,716.35,1776.92,13,3,4.5,0.0526,198.32,3456.83,1803.54,42.5028,-87.6399
2025-04-27,North,USA,Minneapolis,Finance,Professional,SMB,Upsell,Partner,3284.13,1713.03,1571.1,22,1,4.29,0.0591,322.37,3855.21,3819.94,41.7088,-88.2721
2025-03-25,South,USA,Atlanta,Operations,Enterprise,Enterprise,Holiday Push,Direct,13267.25,6451.73,6815.52,67,5,4.41,0.0452,2009.92,15221.38,33043.34,33.4799,-83.204
2025-02-17,East,USA,Philadelphia,Finance,Professional,Enterprise,Holiday Push,Direct,8180.76,3386.23,4794.53,51,2,3.89,0.0777,471.04,5754.83,12496.74,41.2524,-74.3418
2025-03-15,East,USA,Philadelphia,Support,Enterprise,Mid-Market,Holiday Push,Partner,10883.74,6238.41,4645.33,117,4,4.32,0.0566,1435.96,9844.68,8780.72,39.6418,-74.7978
2025-06-07,South,USA,Miami,Operations,Enterprise,Mid-Market,Summer Promo,Retail,11243.68,4103.19,7140.49,78,2,3.95,0.059,820.57,24078.74,35471.77,33.2764,-84.2139
2024-02-15,South,USA,Dallas,Sales,Enterprise,SMB,Retention,Online,9898.71,5617.67,4281.04,66,2,4.76,0.0358,941.3,14623.26,5739.41,32.5234,-85.2125
2024-09-21,East,USA,Philadelphia,Sales,Starter,SMB,Holiday Push,Online,827.1,337.85,489.24,5,3,3.82,0.045,100.93,224.51,2359.58,40.657,-72.5857
2024-05-04,Central,Canada,Calgary,Marketing,Starter,Mid-Market,Upsell,Retail,963.35,398.39,564.96,7,6,4.08,0.0409,172.45,2147.49,3005.77,43.728,-79.4949
2024-12-23,North,USA,Detroit,Operations,Professional,SMB,Retention,Partner,4859.55,2680.82,2178.73,26,4,4.88,0.0378,367.07,3770.09,15652.21,41.4843,-87.6041
2024-03-12,East,USA,New York,Support,Starter,SMB,Summer Promo,Partner,1201.61,653.02,548.6,7,5,3.5,0.0455,107.09,1467.72,3388.58,41.7699,-74.1236
2024-12-08,Central,Canada,Calgary,Operations,Starter,Mid-Market,Holiday Push,Direct,775.48,417.13,358.35,5,7,4.64,0.0523,99.87,1682.29,2024.69,43.1764,-80.1015
2024-05-13,North,USA,Detroit,Support,Add-on Analytics,SMB,Holiday Push,Online,446.1,158.9,287.2,2,2,3.93,0.0631,75.72,184.61,667.6,41.6929,-88.6999
2024-01-29,East,USA,New York,Finance,Starter,SMB,Q1 Launch,Retail,1061.87,399.04,662.84,7,5,4.06,0.0825,104.67,1390.4,908.81,41.6529,-73.7898
2025-05-02,East,USA,Philadelphia,Finance,Starter,Enterprise,Upsell,Retail,1332.4,452.21,880.2,7,4,4.17,0.0777,112.77,465.57,2894.74,40.9624,-72.6181
2024-07-23,South,USA,Dallas,Operations,Professional,Enterprise,Summer Promo,Partner,4541.88,2229.78,2312.1,21,6,4.47,0.0483,346.6,7889.22,15953.42,33.7563,-83.463
2025-05-20,West,USA,San Francisco,Finance,Enterprise,Mid-Market,Q1 Launch,Online,12896.73,3770.18,9126.55,67,7,4.24,0.0998,1925.61,25769.11,28663.45,36.0494,-122.8729
2024-12-21,Central,Canada,Toronto,Finance,Starter,Enterprise,Q1 Launch,Partner,2285.93,794.82,1491.1,13,5,4.03,0.0402,228.21,4170.02,5567.32,42.9422,-79.2382
2025-01-22,West,USA,Seattle,Sales,Professional,Mid-Market,Upsell,Direct,6802.08,3703.44,3098.64,34,3,3.89,0.0649,745.58,7521.64,10589.11,38.1194,-122.179
2024-06-02,East,USA,New York,Marketing,Add-on Analytics,SMB,Upsell,Online,792.18,434.18,358.01,3,3,4.2,0.0588,60.02,1803.48,2215.69,40.4873,-74.094
